S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
153,GoFIBER,Fresher - Backend Developer,Entry level,2,NA,Telecommunications, Engineering Information Technology ,Java C++
154,WeInvest - Digital Wealth Platform,Software Engineer/Senior Software Engineer (Ruby on Rails),Mid-Senior level,2,6,Investment Management, Engineering Design Research ,NA Ruby
155,IQVIA,Frontend Developer,Mid-Senior level,3,NA,Hospital & Health Care, Information Technology ,CSS React
156,Tekizma Inc.,Tekizma India Solutions - Application Developer - Angular/React.js (2-6 yrs) Bangalore (Frontend Developer),Entry level,2,6,Information Technology & Services, Engineering Information Technology ,ReactJS SQL Angular
157,6d Technologies,6d Technologies - Big Data Developer - Python/AWS/Apache Flink (4-6 yrs) Bangalore,Entry level,4,NA,Telecommunications, Engineering Information Technology ,Spark Python SQL
158,MosChip,Software Developer - IOT/Android,Mid-Senior level,4,2,Information Technology & Services, Engineering Information Technology ,C++
159,ZeMoSo Technologies,Senior Software Engineer,132 applicants,4,8,Information Technology & Services, Information Technology Other ,Spark Java Python Angular React
160,Credit Saison India,Cloud Application Developer,Entry level,1,NA,Financial Services, Engineering Information Technology ,Java Python Spring Ruby
161,Caretel Infotech Ltd,Software Engineer,Entry level,,NA,Outsourcing/Offshoring, Engineering Information Technology ,Java
162,Skava,Software Developer/Sr Software Developer - React Native,Associate,2,5,Internet, Engineering Information Technology ,Java CSS SQL JavaScript React
163,Lobotus Technology,Android Developer,Entry level,8,1,Information Technology & Services, Engineering Information Technology ,Java
164,QpiAI,Golang/Fullstack software developer,Entry level,3,NA,Computer Hardware, Engineering Information Technology ,Python Golang Ruby
165,Medtronic,Software Engineer II (Test),Entry level,2,0,Medical Device, Engineering Information Technology ,
166,Housejoy,HouseJoy - Software Development Engineer II - Frontend Architecture (2-6 yrs) Bangalore (Frontend Developer),Entry level,,NA,Internet, Engineering Information Technology ,HTML5 ReactJS JavaScript CSS3 NodeJS
167,PlaySimple Games,PlaySimple Games - Unity Developer - Game Architecture (3-6 yrs) Bangalore,Entry level,2,NA,Entertainment, Engineering Information Technology ,
168,Oracle,Cloud Java Developer - OCI Security Services,417 applicants,1,1,Information Technology & Services, Information Technology Engineering Product Management ,Oracle Spark
169,SIXT Research & Development India,Software Development Engineer III (Java/Golang),176 applicants,7,NA,Information Technology & Services, Engineering Information Technology ,Java Golang
170,CRISIL Limited,ETL Developer,187 applicants,,NA,Financial Services, Business Development Sales ,Spark Java NA SQL Scala
171,AppDirect,"Software Engineer, L3",Entry level,2,4,Internet, Engineering Information Technology ,Java Spring Hibernate SQL JavaScript React
172,Meta Data Technologies Pvt Ltd,Java back end developer,Entry level,6,2,Outsourcing/Offshoring, Engineering Information Technology ,Java
173,Truworth Infotech Pvt. Ltd.,Junior Software Engineer,"1,119 applicants",0,3,Information Technology & Services, Engineering Information Technology ,Java React
174,OMEX,Jr Developer,Entry level,3,0,Chemicals, Engineering Information Technology ,CSS SQL JavaScript
175,emids,Senior Software Engineer - PHP with Angular,2 applicants,6,10,Information Technology & Services, Engineering Information Technology ,PostgreSQL SQL Angular PHP
176,Paytm Labs,"Hiring for Android developer,Experience 1yr-5yrs",Entry level,,NA,Internet, Engineering Information Technology ,Java
177,BD,"Engineer III, Software",Associate,8,NA,Medical Device, Engineering Information Technology ,SQL Angular CSS3
